City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
158,Severo-Kurilsk,RU,43.81,50.6789,156.125,
159,Geraldton,AU,59.41,-28.7667,114.6,
160,Torbay,CA,57.27,47.6666,-52.7314,
161,Port Hardy,CA,51.98,50.6996,-127.4199,
162,Lohr,DE,64.67,49.9936,9.5783,
164,Temir,KZ,56.26,49.1414,57.13,
165,Pleasanton,US,78.33,37.6624,-121.8747,
166,Misratah,LY,73.09,32.3754,15.0925,
167,Verkhnyaya Toyma,RU,56.16,62.2349,44.9985,
168,Inuvik,CA,42.01,68.3499,-133.7218,
170,Sitka,US,51.69,57.0531,-135.33,
171,Cherskiy,RU,59.36,68.75,161.3,
172,Fortuna,US,61.09,40.5982,-124.1573,
173,Alice Springs,AU,38.75,-23.7,133.8833,
174,Tuatapere,NZ,43.57,-46.1333,167.6833,
175,Buarcos,PT,75.54,40.166,-8.8768,
176,Chuy,UY,60.03,-33.6971,-53.4616,
177,Axim,GH,78.46,4.8699,-2.2405,
180,Telimele,GN,76.71,10.9167,-13.3333,
182,Carnarvon,AU,65.17,-24.8667,113.6333,
183,Zhezkazgan,KZ,65.26,47.8043,67.7144,
184,Jerome,US,52.68,42.7241,-114.5186,
185,Gold Coast,AU,60.01,-28.0,153.4333,
188,Vardo,NO,46.38,70.3705,31.1107,
189,Rocha,UY,60.87,-34.4833,-54.3333,
191,Kodiak,US,49.19,57.79,-152.4072,
192,Qaqortoq,GL,46.72,60.7167,-46.0333,
193,Mikhaylovskoye,RU,68.86,51.8239,79.7172,
194,Hermiston,US,61.65,45.8404,-119.2895,
197,Deputatskiy,RU,52.03,69.3,139.9,
201,Tecoanapa,MX,77.56,16.5167,-98.75,
202,Hofn,IS,50.02,64.2539,-15.2082,
203,Ponta Do Sol,PT,72.01,32.6667,-17.1,
204,Gravdal,NO,49.42,68.1214,13.5031,
205,Viedma,AR,63.01,-40.8135,-62.9967,
206,Jiazi,CN,79.83,22.8779,116.067,
207,Ambulu,ID,75.4,-8.345,113.6058,
210,Port Hedland,AU,62.65,-20.3167,118.5667,
211,Beringovskiy,RU,37.69,63.05,179.3167,
212,Clyde River,CA,37.63,70.4692,-68.5914,
214,Tiksi,RU,45.86,71.6872,128.8694,
215,Lata,PT,79.05,40.1629,-8.3327,
216,Fairmount,US,74.55,43.0473,-76.2385,
218,Nantucket,US,78.91,41.2835,-70.0995,
219,Guardiagrele,IT,71.19,42.1954,14.2198,
223,Roebourne,AU,72.55,-20.7833,117.1333,
225,Mackay,AU,58.12,-21.15,149.2,
226,Saint-Augustin,CA,63.77,51.226,-58.6502,
227,Port-Gentil,GA,78.76,-0.7193,8.7815,
229,Fecamp,FR,62.31,49.7579,0.3746,
230,Amuntai,ID,72.45,-2.4177,115.2494,
231,Hoquiam,US,56.95,46.9809,-123.8893,
232,Nikolskoye,RU,58.91,59.7035,30.7861,
233,Praia Da Vitoria,PT,69.76,38.7333,-27.0667,
234,Rio Grande,BR,64.51,-32.035,-52.0986,
235,Codrington,AU,44.06,-38.2667,141.9667,
236,Cape Town,ZA,54.27,-33.9258,18.4232,
237,Dunedin,NZ,46.8,-45.8742,170.5036,
238,San Cristobal,VE,78.98,7.7669,-72.225,
239,Victor Harbor,AU,53.67,-35.5667,138.6167,
240,Montalto Uffugo,IT,72.37,39.4048,16.158,
241,Calvinia,ZA,52.63,-31.4707,19.776,
243,Auce,LV,54.79,56.4598,22.9017,
244,Akranes,IS,53.65,64.3218,-22.0749,
246,Warrington,GB,61.32,53.3925,-2.5802,
247,Nampula,MZ,63.63,-15.1165,39.2666,
