City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Srednekolymsk,67.45,153.6833,61.52,44,0,8.7,RU,2022-06-13 18:51:52
68,Quelimane,-17.8786,36.8883,65.8,93,1,1.74,MZ,2022-06-13 18:51:52
69,Obidos,-1.9175,-55.5181,84.27,68,31,2.55,BR,2022-06-13 18:51:52
70,Tuktoyaktuk,69.4541,-133.0374,35.6,87,75,11.5,CA,2022-06-13 18:51:52
71,Chara,56.9064,118.2631,57.65,47,100,2.42,RU,2022-06-13 18:51:53
72,Alyangula,-13.8483,136.4192,70.14,77,82,10.33,AU,2022-06-13 18:51:53
73,Katima Mulilo,-17.5,24.2667,57.99,42,0,3.8,NA,2022-06-13 18:51:53
74,Kinsale,51.7075,-8.5306,59.23,62,75,8.05,IE,2022-06-13 18:51:54
75,Airai,-8.9266,125.4092,57.58,92,98,2.95,TL,2022-06-13 18:51:54
76,Berlevag,70.8578,29.0864,44.55,76,100,13.8,NO,2022-06-13 18:51:54
77,Kutum,14.2,24.6667,71.13,64,100,13.56,SD,2022-06-13 18:51:55
78,Moshkovo,55.3053,83.6104,67.21,83,20,6.58,RU,2022-06-13 18:51:55
79,Kachiry,53.0675,76.1036,63.72,83,16,6.76,KZ,2022-06-13 18:51:55
80,Kapaa,22.0752,-159.319,80.11,79,0,18.41,US,2022-06-13 18:51:56
81,Sundargarh,22.1167,84.0333,91.29,55,100,2.75,IN,2022-06-13 18:51:56
82,Castro,-24.7911,-50.0119,58.75,61,0,3.94,BR,2022-06-13 18:51:56
83,Amga,60.8953,131.9608,46.9,96,5,3.94,RU,2022-06-13 18:51:56
84,Plettenberg Bay,-34.0527,23.3716,65.1,54,100,6.33,ZA,2022-06-13 18:51:57
85,Tual,-5.6667,132.75,82.31,79,86,18.05,ID,2022-06-13 18:51:57
86,Ilulissat,69.2167,-51.1,33.62,77,84,9.44,GL,2022-06-13 18:51:57
87,Taltal,-25.4,-70.4833,62.62,70,27,6.49,CL,2022-06-13 18:48:11
88,Saint George,37.1041,-113.5841,91.63,22,0,13.8,US,2022-06-13 18:51:34
89,Daru,-9.0763,143.2092,77.63,89,42,15.43,PG,2022-06-13 18:51:58
90,Coronado,32.6859,-117.1831,80.78,82,75,12.66,US,2022-06-13 18:51:58
91,Broken Hill,-31.95,141.4333,43.84,75,0,8.34,AU,2022-06-13 18:51:58
92,Sompeta,18.9333,84.6,86.02,70,93,8.55,IN,2022-06-13 18:51:59
93,Pevek,69.7008,170.3133,34.79,78,94,2.91,RU,2022-06-13 18:51:59
94,Fort Nelson,58.8053,-122.7002,63.99,32,20,3.44,CA,2022-06-13 18:51:59
95,Osijek,45.5511,18.6939,73.31,73,0,5.75,HR,2022-06-13 18:51:56
96,Avarua,-21.2078,-159.775,77.05,83,40,5.75,CK,2022-06-13 18:50:14
97,Faya,18.3851,42.4509,77.11,45,1,2.89,SA,2022-06-13 18:52:00
98,Diu,20.7141,70.9822,83.08,79,42,13.11,IN,2022-06-13 18:52:00
99,Klaksvik,62.2266,-6.589,50.92,96,100,11.79,FO,2022-06-13 18:52:00
100,Krasnoselkup,65.7,82.4667,59.43,92,100,5.5,RU,2022-06-13 18:52:00
101,Ancud,-41.8697,-73.8203,52.23,93,100,11.65,CL,2022-06-13 18:52:01
102,Kaitangata,-46.2817,169.8464,42.6,89,100,18.25,NZ,2022-06-13 18:52:01
103,Iskateley,67.6803,53.1512,58.19,38,100,13.15,RU,2022-06-13 18:52:02
104,Buta,2.7858,24.73,70.09,99,66,1.7,CD,2022-06-13 18:52:43
105,Bafq,31.6128,55.4107,93.0,13,47,9.24,IR,2022-06-13 18:52:43
106,Bamiantong,44.9333,130.5333,52.3,93,100,4.76,CN,2022-06-13 18:52:43
107,Bantou,26.2151,117.4893,72.88,100,100,1.34,CN,2022-06-13 18:52:44
108,Caravelas,-17.7125,-39.2481,72.66,77,100,12.3,BR,2022-06-13 18:52:44
109,Norman Wells,65.282,-126.8329,48.24,71,100,12.66,CA,2022-06-13 18:52:44
110,Shimoda,34.6667,138.95,61.11,84,100,18.14,JP,2022-06-13 18:52:44
111,Hermanus,-34.4187,19.2345,51.8,91,100,15.37,ZA,2022-06-13 18:52:45
112,Mataura,-46.1927,168.8643,41.49,94,100,13.56,NZ,2022-06-13 18:52:45
